u,y
    -0.01542870,     0.06262416
    -0.03967493,     0.14314094
    -0.03747055,     0.21471141
    -0.05510364,     0.42047650
    -0.03526617,     0.68588428
     0.02204185,     0.81113257
     0.17853786,     0.94830963
     0.45185429,     1.08250427
     0.84639990,     1.21968127
     1.11089951,     1.35089441
     1.35556224,     1.55665955
     1.35776601,     1.74453198
     1.34013289,     1.95924341
     1.30266235,     2.16799097
     1.20127066,     2.35884570
     1.00950781,     2.53479053
     0.49593735,     2.80914355
     0.32401263,     2.87176782
     0.14988353,     2.93141040
     0.05069619,     2.96719580
     0.00220438,     2.99999854
     0.00000000,     0.00000000
