u,y
     0.00000000,     1.00000000
     0.10271492,     1.02114654
     0.29251403,     1.06948316
     0.56716419,     1.12990418
     0.77482713,     1.20542908
     1.11646518,     1.32627020
     1.26607152,     1.48638489
     1.35762201,     1.61024640
     1.38218402,     1.74317188
     1.37995084,     1.88818085
     1.35538892,     2.02412683
     1.35092328,     2.14798926
     1.30403180,     2.27789246
     1.21918004,     2.42290234
     1.06510798,     2.54374255
     0.87084263,     2.67968945
     0.56046537,     2.80355090
     0.37289942,     2.87303406
     0.16970275,    2.92741333
     0.08038541,     2.96366565
     0.00000000,     2.99991785
