u,y
     4.00000000,     1.00000000
     4.19724855,     1.04797605
     4.57844739,     1.14992480
     4.79564233,     1.21888965
     5.13473177,     1.35382144
     5.29208743,     1.48875320
     5.37630553,     1.62368591
     5.38295437,     1.74962225
     5.38517086,     1.87555859
     5.36965670,     2.01348914
     5.32754801,     2.15141968
     5.27214101,     2.28335266
     5.18792228,     2.41828455
     5.04386493,     2.55321631
     4.82445344,     2.68814893
     4.50974277,     2.81408533
     4.35238774,     2.87705347
     4.14627387,     2.94601831
     4.00443232,     2.99999097
