u,y
 6.11000013,  0.E+0
 6.07673931,  5.100050941E-2
 6.05900049,  0.129000053
 6.01687002,  0.335999697
 6.04569626,  0.525000215
 6.06565285,  0.602999806
 6.16986942,  0.744000196
 6.4293046,  0.944999218
 6.72643423,  1.08299923
 7.02134752,  1.22099924
 7.28078175,  1.35599899
 7.44265175,  1.54799902
 7.48256445,  1.77899921
 7.38721657,  2.15099883
 7.25417328,  2.34599829
 7.01026011,  2.54699802
 6.79517365,  2.67899847
 6.49804306,  2.81399822
 6.36056519,  2.87699795
 6.20756483,  2.93399835
 6.1122179,  2.99999857
