x, y
0.9830570319472116, 565.444982511989
32.185946216847114, 567.0435129904646
53.934206419336235, 569.2809270554653
72.7037090768412, 571.0609217106828
89.96135737177373, 573.2546671404532
105.41594678835355, 575.0504905746816
123.29275637559404, 577.2370880920007
142.12538851447886, 579.5877997997175
158.41556431865433, 581.2712565231309
183.33764161270324, 584.1723574895967
206.32560920389147, 586.5047530387438
226.32178450689977, 588.6038135904311
252.28206920503447, 591.0602227775836
271.23414619134905, 592.5621389702189
291.9431658819443, 594.1214968915098
318.7855048380218, 595.7927898296424
345.79722951259293, 596.8423171687923
366.2621719882709, 597.1538416358559
