x, y
-0.35580002898507246, 641.8416260733726
10.736693323172261, 768.5940085222808
17.80809677109437, 849.2216624917965
22.803321560179054, 909.6271455905053
28.16116520031462, 977.9948422638579
35.94357842011762, 1063.2877517631507
44.35857478069855, 1159.0095667686505
52.43792225810076, 1224.9274312070768
62.17218767352378, 1307.5016406777154
76.6120916645091, 1397.0493312505198
95.67764028861328, 1469.5585976133916
115.69082198762763, 1502.720659598658
124.76828217791957, 1504.5668703263793
144.0747896546053, 1485.3062197861111
158.18466265760642, 1458.337286365275
175.8938559767078, 1426.6111824895784
190.52244796933445, 1385.4977769972363
205.51241717675532, 1343.0875058925749
222.31220353390043, 1291.606348267352
237.37190791862693, 1240.6469538854021
249.22965629880045, 1200.6462144250233
259.5628789026053, 1161.8760849270245
282.8407497691778, 1062.2983537763316
303.05002857798877, 966.2457781433998
317.7085012595485, 896.9322376995386
333.0138867855707, 818.0902326527216
342.16132640948115, 768.8578479854323
363.0187393443184, 645.7789568062706
