x, y
0.005767025386066549, 300.5621025976376
1.2973031216188426, 300.01356559486874
1.4066261747426967, 315.7456555312845
1.4188752425491582, 434.07364378834893
1.4535908452782274, 561.4804933702504
1.4710657855910152, 587.6111335271939
1.5489497733227222, 599.4629415775048
1.5967927624225409, 607.6546477815036
1.69724723471605, 629.9818777565986
1.8039507569322115, 671.0815431385918
1.9028723632559263, 744.032007847175
2.002070274427047, 836.3980562937404
2.101628097252153, 907.8942196652429
2.2000970196632483, 940.5634765489126
2.3039145422192018, 957.7276932923351
2.4034495631879684, 976.2902967734755
2.504803591068826, 986.9685939087002
2.6023897239634097, 1000.8584586701544
2.708996673611546, 1009.5949626424388
2.8101251419527333, 1021.1056307653779
2.9059416719572937, 1031.8434947755068
3.005081460749511, 1036.7305872859072
