x, y
1.3509256913966536, 18.275703322726187
1.3774463120646843, 188.12131261652132
1.4007320504285712, 1761.3664427130348
1.4238558798964611, 5390.210436827872
1.4542950819054685, 1849.0892383778069
1.4780015762459546, 376.41271539148295
1.502746236642163, 162.43902406003969
1.553639725164475, 130.98554030158877
1.6055662009176879, 151.6984563265296
1.6557472243852973, 183.85830184209135
1.704252992183741, 228.52256124050837
1.754777983779921, 316.013214084475
1.8062893061033867, 436.2393169365267
1.8557181758860737, 594.0987836256511
1.9074719613716167, 738.1185672782494
1.956478427369807, 807.6413205267568
2.008272042726247, 764.3054926401729
2.0598003139309453, 544.7268747239582
2.110433401725208, 333.783253587347
2.160177991501078, 237.81409475231663
2.2108865018168267, 202.2591445553546
2.3117384655801185, 159.85141740282086
2.4148270225429544, 131.4084560757565
2.515342456853328, 114.13872582350969
